REG,PANNEAU,Voix
93,7,743
93,8,37357
93,9,111
93,10,1816
93,11,238313
93,12,462
93,13,4500
93,14,8347
93,15,22119
93,16,232
93,17,351
93,18,123861
93,19,5430
93,20,712
93,21,342
93,22,2092
93,23,352
93,24,20994
93,25,152
93,26,469
93,27,204048
93,28,563
93,29,29725
93,30,491
93,31,3324
93,32,260
93,33,41387
93,34,306
93,35,22418
93,36,47
93,37,622
93,38,54
94,1,5
94,2,28
94,3,8819
94,4,4264
94,5,42938
94,6,2626
94,7,8
94,8,2097
94,9,1
94,10,35
94,11,13990
94,12,11
94,13,187
94,14,294
94,15,1166
94,16,10
94,17,1
94,18,7474
94,19,256
94,20,5
94,21,22
94,22,3
94,23,2
94,24,1086
94,25,0
94,26,12
94,27,9508
94,28,5
94,29,6091
94,30,28
94,31,999
94,32,19
94,33,2564
94,34,2
94,35,743
94,36,1
94,37,49
94,38,3
